,Leadership,Leadership,Leadership,Enablement,Enablement,Enablement,Alignment,Alignment,Alignment,Development,Development,Development
Team,The leaders at my company keep people informed about what is happening,My manager is a great role model for employees,The leaders at my company have communicated a vision that motivates me,I have access to the things I need to do my job well,I have access to the learning and development I need to do my job well,Most of the systems and processes here support us getting our work done effectively,I know what I need to do to be successful in my role,I receive appropriate recognition when I do good work,Day-to-day decisions here demonstrate that quality and improvement are top priorities,My manager (or someone in management) has shown a genuine interest in my career aspirations,I believe there are good career opportunities for me at this company,This is a great company for me to make a contribution to my development
Product Engineering,neutral,neutral,neutral,strongly disagree,strongly agree,strongly disagree,neutral,strongly disagree,strongly disagree,disagree,strongly disagree,disagree
Product Engineering,neutral,strongly agree,strongly disagree,disagree,strongly agree,strongly disagree,agree,strongly disagree,disagree,disagree,disagree,disagree
Customer Experience,strongly disagree,disagree,agree,strongly agree,strongly agree,strongly agree,disagree,agree,disagree,disagree,disagree,agree
Customer Experience,neutral,disagree,strongly disagree,neutral,agree,strongly agree,disagree,neutral,disagree,agree,neutral,neutral
Data Engineering,strongly disagree,agree,strongly disagree,strongly agree,strongly agree,agree,agree,agree,agree,strongly disagree,neutral,agree
Data Engineering,strongly disagree,agree,strongly agree,strongly agree,disagree,strongly agree,neutral,strongly disagree,strongly disagree,strongly agree,neutral,disagree
Product Engineering,strongly disagree,neutral,strongly agree,disagree,strongly agree,disagree,strongly disagree,disagree,strongly disagree,strongly disagree,agree,neutral
Customer Experience,agree,strongly agree,disagree,neutral,agree,strongly disagree,strongly agree,strongly disagree,agree,disagree,strongly agree,strongly disagree
Customer Experience,agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,disagree,agree,agree,agree,disagree,neutral
Customer Experience,strongly disagree,neutral,strongly agree,agree,strongly agree,disagree,strongly agree,disagree,strongly disagree,agree,strongly disagree,strongly agree
Product Engineering,strongly agree,agree,strongly agree,agree,strongly disagree,disagree,strongly disagree,strongly disagree,neutral,strongly agree,disagree,neutral
Data Engineering,strongly disagree,neutral,strongly disagree,disagree,neutral,agree,agree,strongly disagree,strongly disagree,agree,strongly disagree,strongly disagree
Leadership,strongly disagree,strongly disagree,disagree,agree,disagree,strongly agree,neutral,neutral,neutral,agree,strongly agree,strongly agree
Data Engineering,strongly agree,strongly agree,neutral,strongly agree,strongly disagree,neutral,disagree,neutral,agree,strongly agree,strongly disagree,strongly disagree
Data Engineering,disagree,neutral,neutral,neutral,strongly disagree,disagree,disagree,disagree,neutral,neutral,strongly disagree,disagree
